Positivacao de Clientes										
										
Filtros										
Data inicial: 01/05/2025										
Data final: 01/06/2025										
Situações: Novos, Ativos, Inativos recentes, Inativos antigos										
										
										
Razão Social	Nome fantasia	CNPJ/CPF	Estado	Vendedor do último pedido	Último pedido	Data do último pedido	Data do penúltimo pedido	Diferença (em dias)	Tags de clientes	Situação
ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE S PAULO	ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE S PAULO	60.502.242/0001-05	SP	Helder Brunkow	272	09/05/2025				Novo
BIOMUNDO ARAGUAINA LTDA	BIO MUNDO ARAGUAINA	50.860.678/0001-12	TO	Helder Brunkow	288	08/05/2025				Novo
MERCADO SAUDAVEL COMERCIO DE ALIMENTOS LTDA	DIVINA TERRA XANXERE	55.666.250/0001-57	SC	Larissa Padilha	284	08/05/2025			DIVINA TERRA	Novo
KLOSTERMANN NUTRICAO LTDA	KLOSTERMANN NUTRICAO	58.072.623/0001-50	SC	Larissa Padilha	282	08/05/2025			FIT LAND	Novo
J F COMERCIO DE ALIMENTOS LTDA	J F COMERCIO DE ALIMENTOS LTDA	49.639.041/0001-11	PE	Helder Brunkow	273	08/05/2025				Novo
TERRITORIO SAUDE CABRAL LTDA	TERRITORIO SAUDE CABRAL	58.820.609/0001-97	PR	Larissa Padilha	238	08/05/2025			FIT LAND	Novo
A.M.MENDANHA LTDA	TRILHAS DA AMAZONIA	57.185.527/0001-55	PA	Helder Brunkow	247	07/05/2025				Novo
BERBERIAN OLIVEIRA COMERCIO LTDA	EXPRESSO CEREALISTA	49.366.518/0001-32	RJ	Larissa Padilha	215	07/05/2025				Novo
REDE HIPER GRAOS RODOVIARIA RJ COMERCIO LTDA	REDE HIPER GRAOS RODOVIARIA RJ COMERCIO LTDA	48.506.346/0001-92	RJ	Helder Brunkow	259	06/05/2025				Novo
REDE HIPER GRAOS RIO DAS OSTRAS LTDA	REDE HIPER GRAOS RIO DAS OSTRAS LTDA	50.324.818/0001-38	RJ	Helder Brunkow	258	06/05/2025				Novo
GAMA COMERCIO LTDA	EMPORIO DOLL PRODUTOS NATURAIS	33.778.381/0001-93	MA	Helder Brunkow	257	06/05/2025				Novo
REDE HIPER GRAO DE BACAXA LTDA	HIPER DOCE SAQUAREMA	42.502.454/0001-00	RJ	Helder Brunkow	256	06/05/2025				Novo
REDE HIPER DOCE DE CABO FRIO LTDA	REDE HIPER DOCE DE CABO FRIO LTDA	26.225.527/0001-08	RJ	Helder Brunkow	255	06/05/2025				Novo
TAMIRES TRINDADE DA SILVA	GRÃO SAÚDE 	41.610.352/0001-46	BA	Helder Brunkow	253	06/05/2025				Novo
MERCANTIL SALES LTDA	SALES SUPERMERCADO	34.901.637/0001-70	PA	Helder Brunkow	239	06/05/2025				Novo
AUTO POSTO AVENTADOR LTDA	POSTO AVENTADOR	28.998.910/0001-24	PR	Julio Gadret	265	05/05/2025				Novo
AUTO POSTO AFONSO PENA LTDA	AUTO POSTO AFONSO PENA LTDA	43.691.842/0001-40	PR	Julio Gadret	264	05/05/2025				Novo
AUTO POSTO JLS LTDA	POSTO SALVARO JLS	34.159.229/0001-95	PR	Julio Gadret	262	05/05/2025				Novo
AUTO POSTO CASIL LTDA.	POSTO SALVARO CASIL	28.239.223/0001-25	PR	Julio Gadret	250	05/05/2025				Novo
